HD	RA	DEG	Bayer	Cst
25604	61.1735833	22.0820556	A01  	Tau
25642	61.6460833	50.3513611	lam  	Per
25680	61.3339583	22.0092222	A02  	Tau
25705	60.2242083	-62.1593611	gam  	Ret
25728	60.3252917	-61.0790556	iot  	Ret
25823	61.6516667	27.6000278	     	Tau
25867	61.7521667	29.0012778	psi  	Tau
25940	62.1652917	47.7125833	c    	Per
25975	62.0644167	37.7279722	     	Per
25998	62.1520417	38.0402222	     	Per
26162	62.29125	19.6093056	     	Tau
26322	62.7078333	26.4810278	p    	Tau
26409	62.5938333	-6.9238333	     	Eri
26462	62.8341667	5.5230278	     	Tau
26574	62.966375	-6.8377778	omi01	Eri
26612	62.710125	-41.99375	del  	Hor
26630	63.7244167	48.4093611	mu.  	Per
26673	63.722125	40.4837222	f    	Per
26690	63.3879583	7.7160278	     	Tau
26722	63.4849583	9.2638889	     	Tau
26846	63.5987083	-10.2558889	A    	Eri
26911	63.9425417	15.40075	     	Tau
26912	63.8835417	8.8924167	mu.  	Tau
26961	64.56075	50.2956389	b    	Per
